% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.232393082e+05 +1.232393082e+05 +1.226928082e+05 +1.226928082e+05 -4.8643e+00 -6.8944e-01 +3.3659e+00 -2.9001e+00 -2.7555e+00 +3.1069e-01 -1.0090e-01 +2.5363e+00 -2.2044e-01 -3.9133e-02 -5.6457e-01 -6.2692e-01 -3.9889e+00 -4.9318e+00 -1.7039e+00 +1.6805e+00 +8.5102e-01 +3.0161e+00 -1.6527e+00 +3.9741e+00
11 +5.442062733e+04 +5.442062733e+04 +5.387412733e+04 +5.387412733e+04 +4.4310e+00 -1.4078e-01 +1.8224e+00 +3.9406e+00 +3.5333e+00 +4.8395e+00 +2.1006e+00 +1.3818e+00 +4.6146e+00 +2.7257e+00 +1.7696e+00 -2.2003e+00 +8.8151e-01 -4.1009e+00 +1.6520e+00 -1.6943e+00 -1.0307e+00 -1.1222e+00 -1.3567e+00 +1.2931e-01
305 +2.099725675e+04 +2.099725675e+04 +2.045075675e+04 +2.045075675e+04 -4.2553e+00 -3.3183e+00 +3.1013e+00 +7.9547e-01 -4.6358e-01 -9.8327e-01 -2.7420e+00 -3.2443e+00 -4.8287e+00 +2.7531e+00 +2.9851e+00 -2.0830e+00 +4.0607e+00 +3.2036e-01 +2.3653e+00 +5.2482e-01 +2.1587e+00 -3.0103e+00 +6.6662e-01 +2.4876e+00
987 +1.034987958e+04 +1.034987958e+04 +9.803379580e+03 +9.803379580e+03 +2.0506e+00 -1.8839e+00 +5.8369e-01 +2.2308e-01 +3.2444e+00 -6.3702e-01 -1.7816e+00 -9.8365e-01 -4.8357e+00 -7.4198e-02 +2.5979e+00 +1.6259e+00 +3.3191e+00 -9.1919e-01 +4.0660e-01 +6.5573e-01 +1.4483e+00 -3.0304e+00 -6.9397e-01 +2.3481e+00
1708 +8.463163921e+03 +8.463163921e+03 +7.916663921e+03 +7.916663921e+03 +2.0506e+00 -1.8538e+00 +1.9217e+00 -1.1116e+00 +3.2444e+00 -2.3681e+00 -1.7816e+00 +3.2107e+00 -2.3169e+00 +7.4965e-03 +2.5979e+00 +1.6939e+00 +2.8555e+00 -8.6307e-01 +4.0660e-01 +8.2821e-01 +1.4483e+00 -3.0927e+00 -1.5113e+00 +2.3481e+00
2722 +3.779665148e+03 +3.779665148e+03 +3.233165148e+03 +3.233165148e+03 -4.8666e-01 +4.4296e+00 -4.5552e-01 -3.5924e+00 -1.0193e+00 -2.7652e+00 +1.1165e+00 +5.1074e-01 +5.8166e-01 -5.2997e-02 +2.3939e+00 +1.9564e+00 +2.7826e-01 -7.9787e-01 +2.5334e+00 -1.1516e+00 +2.4030e+00 -2.9264e+00 -7.6391e-01 +5.7966e-01
3754 +1.985373758e+03 +1.985373758e+03 +1.438873758e+03 +1.438873758e+03 +2.0833e-01 -1.2963e+00 +9.5470e-01 +1.0946e+00 +7.1974e-01 -9.4297e-01 +8.0077e-01 +2.4386e+00 -3.1133e+00 +2.3623e+00 +2.4868e+00 +1.8652e+00 +1.2726e+00 -2.1057e+00 +1.8961e+00 +2.5951e-01 +3.1637e+00 -1.4730e+00 -1.0294e+00 +2.0208e+00
4621 +1.162121307e+03 +1.162121307e+03 +6.156213071e+02 +6.156213071e+02 -2.4761e+00 -6.6372e-01 +2.8164e+00 -4.1610e-01 -1.5937e+00 +9.3320e-01 -1.2332e+00 +8.2037e-01 -1.1118e+00 +1.7930e+00 +7.6586e-01 +1.7993e+00 -7.1036e-01 -2.1887e+00 +3.6370e-01 -2.2719e+00 +1.7237e+00 -2.1654e+00 -9.4185e-01 +2.1306e+00
5110 +8.276516276e+02 +8.276516276e+02 +2.811516276e+02 +2.811516276e+02 +1.6221e+00 +2.7091e+00 +1.8360e+00 +5.7750e-01 +2.4225e+00 +8.7374e-02 +3.1427e-02 -3.8878e-01 -2.9982e-02 +1.0943e+00 -7.1556e-03 +2.9492e+00 -9.4107e-02 -1.1861e+00 +1.5488e-01 -3.0687e+00 +1.4974e+00 -4.0975e-01 -1.3541e+00 +2.7057e+00
5276 +6.012128207e+02 +6.012128207e+02 +5.471282072e+01 +5.471282072e+01 +2.2076e+00 +2.5757e+00 +6.7882e-01 +7.4691e-01 -8.5450e-01 -3.1979e+00 +6.0900e-02 +5.0803e-01 -2.9588e+00 +1.9087e+00 +1.2249e+00 +1.1378e+00 +7.2087e-01 -7.0947e-01 +2.4525e+00 -9.4363e-02 +4.2310e-01 -2.3869e+00 -9.0481e-01 +1.8904e+00
