1: x1='2.5', x2='7.5'
2: x1='6.744605403896726', x2='11.732671740152492'
3: x1='8.823546416760037', x2='12.533944723672203'
4: x1='-4.091436416845816', x2='14.19046447108519'
5: x1='-0.13066191611336198', x2='4.833812174491862'
6: x1='4.2493796621026085', x2='5.540233274840487'
7: x1='7.687795659304008', x2='8.121471876573302'
8: x1='8.228782301475238', x2='8.45075565852515'
9: x1='5.3041169096906895', x2='14.975229433694361'
10: x1='-2.469686709967281', x2='4.6948294739529945'
11: x1='-3.2667962447218963', x2='3.6265511900856757'
12: x1='-1.060915667360594', x2='5.9831894843170454'
13: x1='-2.6386697219475694', x2='14.316102998564073'
14: x1='-3.061001112625379', x2='13.92390571339432'
15: x1='-4.925019472449188', x2='14.290871723511737'
16: x1='3.5731538958761266', x2='11.191709334751108'
17: x1='-3.9886395643894135', x2='14.317192474140727'
18: x1='2.00390710435056', x2='8.135246088908133'
19: x1='-2.2750456060327706', x2='14.298201530008216'
20: x1='0.30060308685886294', x2='1.5559301965298244'
21: x1='-1.8780076328589308', x2='14.310222227526193'
22: x1='6.617228258097823', x2='3.436952950776459'
23: x1='-0.2152381216249637', x2='14.435935640307559'
24: x1='0.7018654565730138', x2='5.959031055198724'
25: x1='-1.1993277229563812', x2='14.438228113769465'
26: x1='-0.590864983177199', x2='3.948236099844636'
27: x1='1.1479772927597338', x2='14.42457538677387'
28: x1='2.3665759325729905', x2='2.3208472199697954'
29: x1='0.8260103929461398', x2='14.431314553783062'
30: x1='5.825196320060309', x2='13.755023189365739'
31: x1='-4.645955868496496', x2='14.365938271111965'
32: x1='9.62871665810446', x2='14.864450695073948'
33: x1='-2.884656373939664', x2='14.376874107676688'
34: x1='-0.8877472542668254', x2='5.436555992034579'
35: x1='-3.1601557176184727', x2='14.38882352011299'
36: x1='-4.038216022655037', x2='6.422442810974786'
37: x1='4.612069355426419', x2='13.659805435500273'
38: x1='1.644349171282287', x2='8.99822240918933'
39: x1='4.366220674821912', x2='13.633988156963358'
40: x1='0.25287913596091904', x2='3.5860816492973497'
41: x1='4.750184265552431', x2='14.265236117204694'
42: x1='4.419172977567117', x2='6.284089548998174'
43: x1='4.61457219916675', x2='13.69737386768963'
44: x1='4.25923277254404', x2='13.771902986295057'
45: x1='-4.515180403101466', x2='13.514837205144838'
46: x1='4.267297287838522', x2='14.076611330759961'
47: x1='-3.2549023914910418', x2='6.761084627246742'
48: x1='4.273325577385814', x2='14.247267161982254'
49: x1='3.8864337148151957', x2='4.285682696070275'
50: x1='-4.041939156181602', x2='13.195600751170332'
51: x1='0.0236513648425678', x2='5.528455143639273'
52: x1='-3.044644049908392', x2='13.065998876387132'
53: x1='-1.2101896308831757', x2='5.031647523664996'
54: x1='-3.646831313032648', x2='13.246060606786125'
55: x1='-3.582608339423895', x2='13.730040383663733'
56: x1='3.300299045322406', x2='5.785676950842223'
57: x1='-3.266613366226003', x2='13.840565444971398'
58: x1='0.8532369380629232', x2='3.0731136281231937'
59: x1='-3.7317670495938997', x2='13.778340501616942'
60: x1='1.1490970197115749', x2='6.251242927925313'
61: x1='-2.6767598833900292', x2='13.880632616207036'
62: x1='-4.3089255473839785', x2='14.03276698333696'
63: x1='-2.824393573487407', x2='13.698877847501926'
64: x1='5.739104532862868', x2='5.488348225581297'
65: x1='-4.041939156181602', x2='13.791498865421293'
66: x1='-3.5992752563731756', x2='11.915526569831052'
67: x1='8.586321578641629', x2='3.148527547726989'
68: x1='-3.445458981883583', x2='11.987204405358465'
69: x1='3.174420332960942', x2='2.8227284565066277'
70: x1='-3.965019553317383', x2='11.912722688555922'
71: x1='8.683751933264645', x2='2.672147172918313'
72: x1='-3.291559513601462', x2='11.935123788521095'
73: x1='4.797897837876867', x2='11.64261180061053'
74: x1='-3.5422429501784176', x2='11.918552239640077'
75: x1='0.9140284616073773', x2='4.367791315505392'
76: x1='-3.9032057555580426', x2='12.039481562798166'
77: x1='-3.2152408394970173', x2='11.788282343523123'
78: x1='2.275232480716311', x2='7.364371551326905'
79: x1='-3.2235336639811334', x2='11.589527296849491'
80: x1='9.99800384335477', x2='14.637933049697331'
81: x1='-3.113918614892718', x2='11.657179536535047'
82: x1='6.541526524409305', x2='2.117507719314509'
83: x1='-3.085375334618408', x2='11.809284708793113'
84: x1='8.900802315344617', x2='11.742995027835125'
85: x1='-3.099186672265345', x2='11.654507666619562'
86: x1='-4.746049160118106', x2='5.862734372647538'
87: x1='-3.167923112126394', x2='11.614323048133828'
88: x1='-3.266613366226003', x2='11.447401558021463'
89: x1='0.8224463079683444', x2='0.21094651758022054'
90: x1='-3.6132479780920335', x2='11.48805743731455'
91: x1='-1.9271273934287563', x2='13.243830189061509'
92: x1='-3.6359953439964894', x2='11.4324866718835'
93: x1='0.7795036521778851', x2='7.9124558743665405'
94: x1='-3.143772403896751', x2='11.440832173610673'
95: x1='-2.5616547013533815', x2='7.313822607774705'
96: x1='-4.265058880931846', x2='11.444665479118683'
97: x1='-0.7646822282499217', x2='9.03534192716607'
98: x1='-4.2541663553298985', x2='11.451987998786542'
99: x1='-3.483246216054509', x2='14.396801971455183'
100: x1='1.6611754963413334', x2='8.058344137494412'
