% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.455493052e+01 +8.455493052e+01 +1.253349305e+02 +1.253349305e+02 -5.3140e-01 -2.2690e+00 -4.5907e+00 +8.5353e-01 +1.2830e+00 +7.7059e-01 +4.1511e-01 +2.1524e+00 -4.5505e+00 -1.3445e+00 +3.4231e+00 +2.0225e+00 -1.3903e+00 -2.1655e+00 -1.8530e+00 -3.4306e+00 +4.1862e+00 -3.7062e+00 +9.1024e-01 +3.5383e+00
1648 +5.570182093e+01 +5.570182093e+01 +9.648182093e+01 +9.648182093e+01 -4.5121e+00 -3.1369e+00 +3.1000e+00 -1.2699e+00 -3.6629e+00 +2.5560e-01 -3.0355e+00 -4.5855e+00 +3.4929e+00 -1.1464e+00 +6.8645e-01 -2.5946e+00 +4.2924e+00 -1.8021e-01 +1.5719e+00 -7.1414e-01 +2.8028e+00 +4.3962e-01 -1.7402e+00 +1.4953e+00
3122 +3.432324273e+01 +3.432324273e+01 +7.510324273e+01 +7.510324273e+01 -1.7000e+00 -3.4975e+00 +3.1000e+00 -1.2699e+00 -3.6629e+00 +7.3869e-01 -3.0355e+00 -4.5855e+00 +4.1495e+00 -1.1464e+00 +6.5544e-01 -1.8900e+00 +4.2924e+00 +4.9253e-01 +1.5719e+00 +3.5957e-01 +2.8028e+00 +3.9156e+00 -5.9383e-01 +1.4953e+00
5201 +1.087172943e+01 +1.087172943e+01 +5.165172943e+01 +5.165172943e+01 -2.4669e+00 +1.5766e-02 +4.1693e+00 -1.6581e+00 -3.0382e+00 -1.4269e-02 -1.1402e+00 -1.0753e+00 +2.4536e+00 -1.3328e+00 +4.0675e+00 -4.8974e+00 +1.1624e-01 +2.1493e+00 -2.3777e+00 -2.9924e+00 +1.4313e+00 +1.9206e+00 +3.5788e-01 -6.9036e-02
9069 +7.934402020e+00 +7.934402020e+00 +4.871440202e+01 +4.871440202e+01 -1.3326e+00 -3.5378e+00 +3.4993e+00 -1.2953e+00 -4.3882e+00 +6.5389e-01 -3.2335e+00 -3.1018e+00 +2.3962e+00 -3.4122e+00 +7.9228e-02 -1.4491e-01 +9.3968e-01 +1.2872e+00 +9.8411e-01 -5.3405e-01 +2.4412e+00 +2.0318e+00 +1.3757e-01 +3.1628e+00
10676 +6.120198905e+00 +6.120198905e+00 +4.690019890e+01 +4.690019890e+01 -2.1912e+00 -3.5345e+00 +3.4400e+00 -1.2953e+00 -4.3882e+00 +6.5389e-01 -2.8401e+00 -3.1018e+00 +2.6504e+00 -3.9120e+00 +7.8407e-01 -1.1973e+00 +9.5325e-01 +1.3757e+00 +4.4811e-01 -5.3405e-01 +3.1015e+00 +2.0318e+00 -3.3839e-01 +3.1628e+00
11407 +2.901775827e+00 +2.901775827e+00 +4.368177583e+01 +4.368177583e+01 -2.1707e+00 -2.9205e+00 +4.7809e+00 -2.9737e+00 -4.1564e+00 +8.9144e-01 -3.2809e+00 -2.9672e+00 +3.6173e+00 -1.9096e+00 +1.7191e+00 -2.4417e+00 +2.3390e+00 +1.1194e+00 +3.1665e-01 -1.0680e+00 +2.9282e+00 +1.0243e+00 -1.2645e-01 +1.0382e+00
11936 +2.406245244e+00 +2.406245244e+00 +4.318624524e+01 +4.318624524e+01 -1.5534e+00 -2.8502e+00 +3.4993e+00 -1.7978e+00 -3.2839e+00 +7.2377e-01 -2.3893e+00 -3.0743e+00 +2.8432e+00 -3.8196e+00 +8.1496e-01 -1.8136e+00 +9.7388e-01 +1.9587e+00 +9.6233e-01 -1.7058e-01 +2.7290e+00 +1.6603e+00 -2.8820e-01 +2.9186e+00
15493 +1.417359667e+00 +1.417359667e+00 +4.219735967e+01 +4.219735967e+01 -2.1707e+00 -2.8692e+00 +4.7809e+00 -2.9737e+00 -4.0998e+00 +1.0218e+00 -3.7196e+00 -2.9672e+00 +3.1217e+00 -2.1707e+00 +1.5489e+00 -2.3414e+00 +5.5287e-01 +1.1488e+00 +3.1665e-01 -1.0722e+00 +2.9469e+00 +8.6979e-01 -1.1368e-01 +1.1386e+00
16299 +9.810304572e-01 +9.810304572e-01 +4.176103046e+01 +4.176103046e+01 -1.6325e+00 -2.1328e+00 +3.6006e+00 -2.0344e+00 -4.1526e+00 +3.8962e-01 -2.3882e+00 -2.3488e+00 +2.3710e+00 -2.6787e+00 +1.2344e+00 -3.3239e+00 +5.2545e-01 +2.0485e+00 +8.9609e-01 -1.1287e+00 +2.2971e+00 +1.1747e+00 +2.6148e-01 +1.2828e+00
19114 +5.773601784e-01 +5.773601784e-01 +4.135736018e+01 +4.135736018e+01 -2.0683e+00 -2.8346e+00 +4.1638e+00 -2.5093e+00 -4.2920e+00 +1.1693e+00 -3.0379e+00 -1.9890e+00 +3.2136e+00 -3.1365e+00 +1.6153e+00 -2.1189e+00 +1.0105e+00 +3.2769e+00 +4.3216e-01 -1.0100e+00 +2.5069e+00 +4.2727e-01 +6.3645e-01 +4.3278e-01
22810 +2.502766870e-01 +2.502766870e-01 +4.103027669e+01 +4.103027669e+01 -2.0683e+00 -2.5245e+00 +4.1638e+00 -1.9977e+00 -3.9878e+00 +1.1693e+00 -2.9704e+00 -1.9890e+00 +3.0381e+00 -2.9653e+00 +1.7492e+00 -2.2271e+00 +1.0105e+00 +2.5505e+00 +3.2062e-01 -7.9935e-01 +2.4243e+00 +3.5135e-01 +4.4871e-01 +9.5355e-01
24997 +1.516851170e-01 +1.516851170e-01 +4.093168512e+01 +4.093168512e+01 -2.0683e+00 -2.4803e+00 +4.1638e+00 -1.9977e+00 -3.9878e+00 +1.1693e+00 -2.9554e+00 -2.2220e+00 +3.1110e+00 -2.7756e+00 +1.2669e+00 -2.0277e+00 +1.0105e+00 +2.4757e+00 +3.2144e-01 -6.5139e-01 +2.3737e+00 +3.5135e-01 +4.4871e-01 +9.5355e-01
