% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.570599098e+07 +4.570599098e+07 +4.570593604e+07 +4.570593604e+07 -2.5860e-01 -1.4200e+00 -3.6859e+00 -7.3460e-01 -7.5816e-01 +6.8652e-01 +4.2736e+00 +4.3362e+00 +2.8747e-01 -3.2083e+00
2 +2.854597643e+07 +2.854597643e+07 +2.854592149e+07 +2.854592149e+07 +2.2548e-01 -4.7625e+00 -2.5207e+00 +1.3707e+00 +9.0810e-01 +2.6837e+00 +3.8094e+00 -1.2245e+00 +2.8732e+00 -1.7934e+00
3 +8.277163091e+06 +8.277163091e+06 +8.277108151e+06 +8.277108151e+06 +2.6076e+00 +2.1842e+00 +3.2887e+00 +2.8577e-01 +3.5920e+00 -1.0439e+00 +3.5187e+00 -2.7408e-02 -1.1259e+00 +1.2819e+00
4 +4.882665654e+06 +4.882665654e+06 +4.882610714e+06 +4.882610714e+06 -9.5446e-01 -4.5598e-01 -4.9947e-02 +4.6468e+00 -7.8389e-01 -3.1043e+00 -3.8044e+00 -8.8228e-01 -4.1883e-01 -4.9003e+00
5 +2.755792798e+06 +2.755792798e+06 +2.755737858e+06 +2.755737858e+06 +2.5824e+00 +2.7781e+00 +4.5892e+00 +1.5870e+00 +2.3507e+00 +1.4091e+00 +1.8515e+00 -4.2074e-01 -3.9792e+00 -2.0693e+00
15 +2.219386872e+06 +2.219386872e+06 +2.219331932e+06 +2.219331932e+06 -2.4126e+00 -1.3459e+00 +1.7307e-01 -2.3999e-01 +1.2881e+00 -4.7347e-01 -4.2504e+00 -6.6494e-02 -3.7198e+00 +2.7910e+00
19 +9.887613298e+05 +9.887613298e+05 +9.887063898e+05 +9.887063898e+05 -4.5589e+00 -3.3392e+00 +1.7209e+00 +4.8490e+00 +4.7206e+00 +2.1100e+00 +1.5961e-02 -4.2186e-01 -1.6194e-01 -2.5631e+00
676 +4.639714104e+05 +4.639714104e+05 +4.639164704e+05 +4.639164704e+05 -1.1288e+00 +3.2358e+00 +3.9490e+00 +4.7471e+00 +4.6099e+00 -3.2556e+00 +6.2041e-01 +2.0482e+00 -2.6203e-01 +4.0137e+00
1057 +3.612051232e+05 +3.612051232e+05 +3.611501832e+05 +3.611501832e+05 +1.4405e+00 +1.6173e+00 -2.1315e+00 +1.7160e+00 +3.7419e+00 +1.9042e+00 -3.0926e+00 +4.3830e+00 +4.2899e+00 +9.2115e-01
1059 +1.113966524e+05 +1.113966524e+05 +1.113417124e+05 +1.113417124e+05 -2.1038e+00 +1.6628e+00 +2.2547e+00 +1.0361e+00 +4.2162e+00 +3.6063e+00 -4.2538e-02 +4.1012e+00 +2.4429e+00 -2.0195e+00
1874 +9.770712825e+04 +9.770712825e+04 +9.765218825e+04 +9.765218825e+04 +4.9016e-01 -2.0856e+00 +2.9031e-01 +4.8604e+00 +1.0431e+00 +2.4222e+00 -3.5051e+00 +5.6042e-01 +2.8317e+00 +1.9218e+00
3876 +4.420533735e+04 +4.420533735e+04 +4.415039735e+04 +4.415039735e+04 +4.9451e+00 -2.7691e+00 +2.9301e+00 +1.4613e+00 +2.3106e+00 +3.7547e+00 -1.6183e-01 +9.9655e-02 +2.4832e+00 +3.4855e+00
5431 +3.673864548e+04 +3.673864548e+04 +3.668370548e+04 +3.668370548e+04 -5.7509e-01 +2.9721e+00 +6.5389e-01 -2.6045e-02 +4.4682e+00 -7.5814e-01 -4.1242e+00 +1.1635e+00 +2.1390e+00 +4.7713e+00
5755 +2.094916494e+04 +2.094916494e+04 +2.089422494e+04 +2.089422494e+04 -1.3618e+00 -2.3115e+00 +4.1134e+00 +9.8246e-01 +3.1877e+00 +2.8822e+00 -3.5493e-01 -4.0993e+00 -2.0464e+00 -1.0325e+00
10808 +1.496776334e+04 +1.496776334e+04 +1.491282334e+04 +1.491282334e+04 -2.6064e+00 -9.3206e-01 +3.1414e-01 +4.9443e+00 +2.9938e+00 +2.5947e+00 -1.0995e+00 +7.3889e-01 +2.7102e-02 -2.8830e+00
18513 +9.656958639e+03 +9.656958639e+03 +9.602018639e+03 +9.602018639e+03 -4.0375e+00 +1.8004e+00 -5.8258e-01 +3.7514e+00 +4.6886e+00 +1.2622e-01 -2.3653e+00 +9.8841e-01 -1.2370e+00 +9.9181e-03
21781 +5.424831782e+03 +5.424831782e+03 +5.369891782e+03 +5.369891782e+03 -3.0023e+00 -9.4722e-01 +3.1414e-01 +4.9443e+00 +3.3378e+00 +2.5947e+00 -1.0995e+00 +2.4185e-01 -4.7086e-01 -2.8830e+00
30915 +3.830826241e+03 +3.830826241e+03 +3.775886241e+03 +3.775886241e+03 -3.0905e+00 -9.3946e-01 +3.1414e-01 +4.7147e+00 +3.3926e+00 +2.5947e+00 -1.0995e+00 +2.4185e-01 -4.7086e-01 -2.8830e+00
169162 +2.504622543e+03 +2.504622543e+03 +2.449682543e+03 +2.449682543e+03 -3.3822e+00 -9.6223e-01 +9.9787e-02 +4.6120e+00 +3.4241e+00 +2.6219e+00 -1.1267e+00 +1.1925e-01 -1.4835e+00 -2.3199e+00
356674 +1.584649438e+03 +1.584649438e+03 +1.529709438e+03 +1.529709438e+03 -3.4483e+00 -9.5714e-01 -2.6774e-01 +4.5814e+00 +3.4797e+00 +2.7198e+00 -1.0815e+00 +2.4304e-01 -2.4178e+00 -1.5856e+00
