1: x1='2.5', x2='7.5'
2: x1='1.6808768621513908', x2='2.4401710727323027'
3: x1='5.46551042399247', x2='6.9145814273962465'
4: x1='-0.23209781905225668', x2='7.612989662796543'
5: x1='2.2066062444043535', x2='10.903925104077706'
6: x1='9.623702192673079', x2='5.611085635891073'
7: x1='-1.8186824123692702', x2='6.24100053155788'
8: x1='2.8257368435369914', x2='8.326217571141825'
9: x1='2.59163786649518', x2='5.946866141443957'
10: x1='3.342992433701541', x2='8.555656140083167'
11: x1='9.92134462813125', x2='14.284007880682434'
12: x1='4.509469636830756', x2='8.869026374737624'
13: x1='9.771418789555621', x2='2.733846272217993'
14: x1='1.645241855421304', x2='0.46877562895362435'
15: x1='9.773845749648341', x2='2.0315643437319153'
16: x1='9.759815725801', x2='11.376791488480627'
17: x1='9.778947902569127', x2='5.158848365354853'
18: x1='1.5476952313599055', x2='11.199110512629565'
19: x1='9.774384870471655', x2='7.03286756854411'
20: x1='1.4080818493438567', x2='7.725769608702084'
21: x1='9.783543700404355', x2='0.6223897011493101'
22: x1='4.437511953167199', x2='3.1706420121631678'
