% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.586298931e+02 +2.586298931e+02 +3.381098931e+02 +3.381098931e+02 -3.7754e+00 -2.9481e+00 -1.8216e+00 -3.5938e-01 -9.4229e-01 +4.9328e-01 +4.9182e+00 -4.0266e+00 +4.0794e+00 -2.1004e+00 -4.4088e+00 -4.5742e+00 -9.7777e-01 +3.7187e+00 +1.7266e+00 +1.3798e+00 +4.7340e-01 +3.0866e+00 -3.5948e+00 +1.5783e+00
4 +1.763852248e+02 +1.763852248e+02 +2.558652248e+02 +2.558652248e+02 -1.8776e+00 -3.1189e+00 +3.1227e+00 -3.3010e+00 -4.4745e+00 +3.9721e-01 -4.1887e-01 +1.9080e+00 +4.0635e-01 -3.5374e+00 +1.1448e+00 -3.1820e+00 +3.9224e+00 -4.8358e+00 +2.9707e+00 +3.7966e+00 -2.0785e-01 -2.3432e+00 -2.9628e+00 +8.8161e-01
11 +1.133958570e+02 +1.133958570e+02 +1.928758570e+02 +1.928758570e+02 -2.1226e+00 -3.5063e+00 +2.4068e+00 +3.2490e+00 -2.6091e+00 +4.3811e+00 -2.2779e+00 +4.0223e+00 -5.0795e-01 -3.7043e+00 -3.2123e+00 +3.2027e+00 -1.7066e+00 -6.1562e-01 +4.3668e+00 -1.5490e+00 +7.2489e-01 -1.1569e+00 +4.5480e+00 -1.8148e+00
585 +8.776685967e+01 +8.776685967e+01 +1.672468597e+02 +1.672468597e+02 -1.2587e+00 -3.4950e+00 -3.4203e+00 +4.6663e+00 -3.3849e+00 -3.9821e-01 +3.0321e+00 -1.5150e+00 +3.4053e+00 -1.8665e+00 -2.9831e+00 -1.1074e+00 +2.6404e+00 -1.8569e+00 +3.4556e+00 +5.7711e-01 +5.1683e-01 -3.8326e+00 +7.4607e-01 +1.1409e+00
1614 +5.387690836e+01 +5.387690836e+01 +1.333569084e+02 +1.333569084e+02 +2.4828e+00 +1.4177e-01 -1.7377e+00 +1.6801e+00 -4.4908e+00 -7.2222e-01 +1.7119e+00 +7.2221e-01 +1.4527e+00 -4.9950e+00 -3.1048e+00 +3.4460e+00 +4.1934e+00 +1.0267e+00 +3.1015e+00 +1.8906e+00 -1.8315e+00 -2.7489e+00 +4.1934e+00 -4.9238e-02
3203 +1.966096203e+01 +1.966096203e+01 +9.914096203e+01 +9.914096203e+01 +5.0032e-01 -4.1760e-01 -1.3429e+00 +1.2982e+00 -3.0479e+00 +1.2654e-01 -2.2326e-01 +2.0386e+00 -3.1815e-01 -1.9587e+00 -2.9007e+00 +1.2936e+00 +2.7723e+00 -2.0062e+00 +3.8823e+00 +3.4488e+00 +9.0064e-02 -2.2802e+00 +2.7863e+00 +9.4539e-01
4795 +1.453338810e+01 +1.453338810e+01 +9.401338810e+01 +9.401338810e+01 +9.4492e-01 -4.8198e-01 -1.3429e+00 +1.2982e+00 -2.4778e+00 +1.2654e-01 -2.2326e-01 +2.0386e+00 -2.3341e+00 -1.1325e+00 -2.9007e+00 +1.2936e+00 +1.4859e+00 +1.3306e+00 +3.8823e+00 +3.4488e+00 +5.2996e-01 -3.6115e+00 +2.7863e+00 +9.4539e-01
7017 +9.302566019e+00 +9.302566019e+00 +8.878256602e+01 +8.878256602e+01 +7.2328e-01 -9.0239e-01 -7.4821e-01 +1.3840e+00 -2.3331e+00 +7.4645e-01 +9.3200e-01 -1.0133e+00 -1.5104e+00 -4.2047e+00 -3.5576e+00 +2.0131e+00 +1.5537e+00 -1.4681e+00 +3.5389e+00 +3.5772e+00 -1.4306e+00 -3.6319e+00 +2.8133e+00 +1.0335e+00
8419 +6.020308445e+00 +6.020308445e+00 +8.550030844e+01 +8.550030844e+01 +4.9746e-01 -1.2402e+00 -5.1697e-01 +6.8001e-01 -2.8591e+00 +3.4970e-01 -4.2344e-01 -4.7236e-01 -1.9030e+00 -2.9398e+00 -2.9637e+00 +2.3302e+00 +1.0289e+00 +5.8042e-01 +2.6911e+00 +3.1488e+00 -6.0664e-02 -3.7377e+00 +3.2646e+00 +5.6782e-01
10673 +3.463153474e+00 +3.463153474e+00 +8.294315347e+01 +8.294315347e+01 +5.0459e-01 -1.2402e+00 -5.9486e-01 +1.8989e+00 -2.8591e+00 +3.4970e-01 -4.2344e-01 -4.7236e-01 -1.1938e+00 -2.9398e+00 -3.3261e+00 +2.3302e+00 +1.0289e+00 -1.6350e-01 +2.6911e+00 +3.1488e+00 -5.5850e-01 -3.7315e+00 +3.2526e+00 +8.0687e-01
