% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.443887289e+02 +2.443887289e+02 +2.274487289e+02 +2.274487289e+02 +4.6038e+00 +4.5254e+00 -3.4947e+00 -2.2133e+00 -3.0844e+00 +4.0220e+00 +4.7948e+00 +4.2124e+00 +1.5652e+00 +4.3487e-01 -4.6135e+00 -4.5260e+00 -4.1822e+00 -2.1247e+00 +2.8685e+00 -2.9598e-01 +5.3833e-01 -2.0067e+00 -3.6276e+00 +4.1305e+00
11 +1.185993619e+02 +1.185993619e+02 +1.016593619e+02 +1.016593619e+02 +4.7082e-01 +4.3908e+00 -4.9645e+00 -7.6000e-01 +3.5873e+00 +8.7679e-01 -4.1414e+00 +4.5552e+00 -4.4945e-01 -6.1480e-01 -1.4539e+00 +2.4873e+00 +1.1138e+00 +1.9660e+00 -1.4228e+00 -2.5584e+00 +1.8725e+00 -2.0683e-01 +2.6210e+00 -9.0896e-01
37 +8.415282833e+01 +8.415282833e+01 +6.721282833e+01 +6.721282833e+01 -1.6895e+00 -3.1355e+00 -3.0084e+00 -2.3603e+00 +4.0950e+00 +5.0262e-01 -1.5834e+00 +4.4823e+00 +1.4725e+00 -1.1344e+00 -4.1307e-01 +1.1196e+00 -1.2553e+00 -1.7665e+00 -4.8130e-01 +1.6105e+00 +3.8042e+00 -3.7844e+00 +3.8305e+00 -4.4562e+00
91 +5.989980390e+01 +5.989980390e+01 +4.295980390e+01 +4.295980390e+01 -1.4499e+00 -4.1549e-01 -1.4703e+00 +4.2217e+00 +4.0470e+00 +2.7918e+00 +4.8260e+00 +1.3167e+00 +2.4887e+00 -2.6991e+00 +2.5574e+00 -3.8712e-01 +4.1584e-01 +4.4329e+00 +7.9068e-01 +8.5977e-01 +2.0642e+00 -1.9045e+00 -3.9910e+00 +2.6605e-01
1628 +3.405146098e+01 +3.405146098e+01 +1.711146098e+01 +1.711146098e+01 -3.1223e-01 +1.5913e+00 -4.3484e+00 +3.7742e+00 +3.2936e+00 +6.2392e-01 -1.0320e+00 -1.5385e+00 -3.1445e+00 -3.3077e+00 +4.9776e+00 +9.1859e-01 -3.0854e+00 -8.7084e-01 +4.5286e+00 +2.5979e+00 +1.2814e+00 -3.9281e+00 -2.5848e+00 -1.2986e+00
3733 +2.087118476e+01 +2.087118476e+01 +3.931184764e+00 +3.931184764e+00 +2.9665e+00 +2.4451e+00 -1.0596e+00 +9.3140e-01 +2.3125e+00 -6.6307e-01 +4.5527e+00 -2.2809e-01 -3.0482e+00 -6.6129e-01 +2.2320e+00 +6.5918e-01 -1.4187e+00 -3.2649e+00 +2.6049e+00 +3.5999e+00 +3.3494e+00 +1.2680e-01 +1.3231e+00 +4.7297e+00
6578 +1.558162701e+01 +1.558162701e+01 -1.358372990e+00 -1.358372990e+00 +2.9268e+00 +1.1886e+00 -2.7597e-01 +9.3140e-01 +1.3064e+00 -6.6307e-01 +4.3382e+00 -2.2809e-01 -5.9376e-01 -1.9138e+00 +2.5628e+00 +6.0361e-01 -4.9801e+00 -2.4586e+00 +3.2691e+00 +3.9187e+00 +3.5242e+00 +1.2680e-01 +1.3231e+00 +4.7297e+00
9670 +9.793774824e+00 +9.793774824e+00 -7.146225176e+00 -7.146225176e+00 +3.4501e+00 +1.3256e+00 +1.1656e-01 +9.9689e-01 +2.4293e+00 -1.1964e+00 +2.7000e+00 -2.2809e-01 -5.9376e-01 -3.0429e+00 +4.4110e+00 -1.4655e+00 -1.7046e+00 -1.5910e+00 +3.2691e+00 +3.3250e+00 +4.0579e+00 +1.1033e-01 +6.6640e-01 +3.4694e+00
17885 +5.465927669e+00 +5.465927669e+00 -1.147407233e+01 -1.147407233e+01 +3.7179e+00 +2.3657e+00 -1.6019e+00 +2.0727e+00 +2.1516e+00 -1.6724e+00 +2.7692e+00 -3.2289e+00 +7.6939e-01 -1.0480e+00 +4.1425e+00 +8.1684e-01 -2.9500e+00 -1.8427e+00 +1.7729e+00 +3.8595e+00 +3.6093e+00 +1.8444e-01 +3.7301e-02 +7.8604e-01
21972 +3.646457198e+00 +3.646457198e+00 -1.329354280e+01 -1.329354280e+01 +3.8886e+00 +1.9480e+00 -5.8773e-01 +6.9542e-01 +2.1347e+00 -1.2298e+00 +2.3306e+00 -3.2956e+00 +3.8077e-02 +3.1837e-02 +4.0301e+00 +1.0791e+00 -3.1528e+00 -1.7155e+00 +1.5187e+00 +3.8802e+00 +3.6628e+00 +3.3091e-01 -3.3599e-01 +9.4745e-01
33881 +2.127868129e+00 +2.127868129e+00 -1.481213187e+01 -1.481213187e+01 +3.7179e+00 +2.4908e+00 -1.6019e+00 +1.5865e+00 +2.1516e+00 -1.4575e+00 +2.7692e+00 -3.3383e+00 -3.3771e-01 -1.1629e+00 +4.0484e+00 +8.3930e-01 -2.9500e+00 -1.8427e+00 +1.7830e+00 +3.8595e+00 +3.3397e+00 +2.0574e-01 +2.3495e-01 +8.5904e-01
48234 +1.548072132e+00 +1.548072132e+00 -1.539192787e+01 -1.539192787e+01 +3.7179e+00 +2.4908e+00 -1.6019e+00 +1.6096e+00 +2.1516e+00 -1.4575e+00 +2.7692e+00 -3.3383e+00 -3.5199e-01 -1.1022e+00 +4.0484e+00 +8.3930e-01 -2.9542e+00 -1.8427e+00 +1.7693e+00 +3.8595e+00 +3.3081e+00 +2.0278e-01 +2.1014e-01 +8.6684e-01
