% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.223075008e+04 +1.223075008e+04 +1.176866008e+04 +1.176866008e+04 +3.8550e+00 -4.5667e+00 -5.5649e-01 +2.9293e+00 +5.1757e-01 -2.1076e+00 +4.4702e+00 +1.6406e+00 +3.5518e+00 -4.4129e+00 -9.1349e-01 -4.7389e+00 -3.9656e-01 +1.3209e+00 -8.0439e-02 -1.2615e+00 +4.0875e+00 -4.4927e+00 +1.3524e-01 -8.4766e-01
2 +4.541573639e+03 +4.541573639e+03 +4.079483639e+03 +4.079483639e+03 -1.8687e+00 +4.6728e+00 +4.7286e+00 +4.3422e+00 -2.3468e+00 -2.6731e+00 -2.1271e+00 -2.4991e+00 +4.3813e+00 +3.7677e+00 +2.2216e+00 +2.1163e-01 -5.9322e-01 +9.8359e-01 +5.6949e-01 -3.2010e+00 -4.2576e+00 -4.8703e+00 -4.1661e+00 -2.0618e+00
3 +3.516226038e+03 +3.516226038e+03 +3.054136038e+03 +3.054136038e+03 +5.1164e-01 +7.9295e-01 +4.1351e+00 -2.8868e+00 +2.3333e+00 +4.4288e+00 -3.2009e+00 -1.7629e+00 +2.9195e+00 -2.4008e+00 -1.4000e+00 +1.9770e+00 -1.2780e+00 -5.0377e-01 -3.3153e+00 -1.4272e+00 +1.6597e+00 +4.8938e+00 +3.3917e+00 -3.2947e+00
13 +1.657552210e+03 +1.657552210e+03 +1.195462210e+03 +1.195462210e+03 -4.8145e+00 -4.2160e-01 -1.4797e+00 -3.5217e+00 +8.9441e-01 +2.5241e-02 +1.7103e+00 +3.9197e+00 +1.5348e+00 +9.7062e-01 -3.1922e+00 +3.5730e+00 +3.3073e-01 +4.4354e+00 -4.8931e+00 +3.8599e+00 -8.5061e-01 +4.8149e+00 -1.2400e+00 +1.9691e+00
21 +8.284117728e+02 +8.284117728e+02 +3.663217728e+02 +3.663217728e+02 -1.4712e+00 +4.5566e+00 +7.5465e-01 +3.5065e+00 +2.7079e+00 -2.6755e+00 +2.7095e+00 +2.5310e-01 -4.5984e+00 -4.9571e+00 +7.0227e-01 +2.0427e-01 +3.2220e-01 -2.9328e+00 +1.8144e+00 -4.0604e+00 +4.3150e-01 +4.8562e+00 +1.5891e+00 -1.1928e+00
1404 +5.987560296e+02 +5.987560296e+02 +1.366660296e+02 +1.366660296e+02 -5.6937e-01 -4.6076e+00 -1.6536e+00 -8.6712e-01 +5.5254e-02 -8.6299e-01 -3.0707e-01 +2.0099e+00 -4.3614e-01 -1.3379e+00 +1.4975e+00 -2.9398e+00 -9.9528e-02 -1.8143e+00 +1.9055e+00 -4.9215e+00 -1.8569e+00 +1.5627e+00 +2.4243e+00 +2.9703e+00
3179 +3.306781203e+02 +3.306781203e+02 -1.314118797e+02 -1.314118797e+02 +1.7189e+00 +1.3711e+00 +1.1003e+00 -1.1822e+00 +1.1437e+00 +2.8682e+00 +1.9391e+00 -2.0509e-01 -4.6979e-01 +5.1297e-01 +2.8668e+00 -4.7327e+00 -5.7252e-01 -1.7178e+00 +1.2776e+00 -4.9039e+00 -5.4729e-01 +3.8252e+00 +9.6202e-01 +3.0428e+00
6453 +2.247543595e+02 +2.247543595e+02 -2.373356405e+02 -2.373356405e+02 +1.7189e+00 +4.8755e+00 +1.1003e+00 -1.1822e+00 +1.1437e+00 +2.8682e+00 +1.9391e+00 +3.9151e+00 +1.8663e+00 -1.6790e+00 +2.8668e+00 -4.7327e+00 -4.6902e-01 -3.7966e+00 +1.2776e+00 -4.7338e+00 -5.4514e-01 +3.8252e+00 +1.7848e+00 +1.8462e+00
11250 +1.495088683e+02 +1.495088683e+02 -3.125811317e+02 -3.125811317e+02 +1.4347e+00 +1.2524e+00 -1.5208e+00 -3.4489e-01 +1.4713e+00 +2.9213e+00 +1.8753e+00 +2.4848e+00 +1.8627e+00 +7.3439e-01 +1.6909e+00 -4.1828e+00 -3.6646e-01 -1.7371e+00 +9.5758e-01 -4.8105e+00 -3.8284e-01 +2.8661e+00 +2.1484e+00 +2.6309e+00
19001 +9.693200809e+01 +9.693200809e+01 -3.651579919e+02 -3.651579919e+02 +1.4387e+00 +1.3692e+00 +7.5986e-01 +6.7295e-01 +1.3637e+00 +2.8682e+00 +1.9426e+00 +1.8583e+00 +1.8663e+00 +6.8787e-01 +2.8668e+00 -4.8089e+00 -4.1888e-01 -2.9130e+00 +1.2759e+00 -4.7792e+00 -4.5868e-01 +2.9766e+00 +1.8746e+00 +1.8436e+00
