% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.119524495e+03 +1.119524495e+03 +6.574344950e+02 +6.574344950e+02 +1.3884e+00 +2.6625e+00 -2.0604e+00 +3.5275e+00 -4.1731e+00 -4.5833e+00 +4.3399e+00 +8.1862e-01 +4.4343e+00 -4.3093e+00 -1.6515e+00 +1.5131e-04 +3.7673e+00 -3.9458e+00 -2.4839e+00 -2.6554e-01 +5.1297e-03 +2.0297e+00 -1.1541e-01 -5.7806e-01
20 +9.193993711e+02 +9.193993711e+02 +4.573093711e+02 +4.573093711e+02 +1.4593e+00 +2.4356e+00 -4.9489e+00 +4.4253e-01 +1.3834e+00 -3.2780e+00 -5.0507e-01 -2.8839e+00 +5.0671e-01 +2.0437e+00 -2.6981e+00 -3.3413e-01 -2.8854e-01 +4.6603e-01 -2.0011e+00 -2.6343e+00 -4.1939e+00 +1.6721e+00 -3.3803e+00 +4.9235e+00
228 +5.712170085e+02 +5.712170085e+02 +1.091270085e+02 +1.091270085e+02 +1.8034e+00 +4.5061e+00 -3.3115e+00 -8.1841e-01 -1.9044e+00 +6.0548e-01 -2.1666e-01 +1.3248e-01 +4.3711e+00 +9.1250e-01 -4.9671e+00 -3.4335e+00 -3.3236e+00 -2.1666e+00 -4.3643e+00 -1.6758e+00 -1.0416e-01 +4.2448e+00 -2.8400e+00 -1.5349e-01
2334 +3.534379357e+02 +3.534379357e+02 -1.086520643e+02 -1.086520643e+02 -4.6283e+00 +1.5104e+00 -2.7684e+00 +2.2906e+00 -7.0546e-01 -1.6124e+00 +2.9344e+00 -6.6106e-01 +1.4202e+00 -4.6374e-01 -1.7548e+00 -3.4100e+00 -1.2137e+00 -2.5980e+00 -7.3320e-01 -2.3878e+00 -1.4460e+00 +3.0489e+00 -2.5433e+00 +1.3363e+00
5018 +2.497239300e+02 +2.497239300e+02 -2.123660700e+02 -2.123660700e+02 +1.6409e+00 +9.2500e-01 +4.0823e+00 -1.4230e-01 +3.9314e+00 +4.4852e-02 -6.8628e-01 +1.7049e+00 +1.5897e+00 -6.2826e-01 -7.5756e-01 -2.4345e+00 -7.7224e-02 -3.0220e+00 -4.1174e+00 -2.5023e+00 -6.9903e-01 +3.6968e+00 -3.1030e+00 +2.1167e+00
8749 +1.546608494e+02 +1.546608494e+02 -3.074291506e+02 -3.074291506e+02 -1.6091e+00 +3.0006e+00 +5.3040e-01 +7.3160e-01 -2.2007e-01 +2.8336e+00 +1.7200e+00 +2.4662e+00 +1.7215e+00 -1.4110e+00 -4.1945e+00 -4.3887e+00 -1.1503e+00 -2.9920e+00 -1.1160e+00 -3.1109e+00 -1.3660e+00 +2.9720e+00 -2.2042e+00 +1.1513e+00
14781 +8.212878697e+01 +8.212878697e+01 -3.799612130e+02 -3.799612130e+02 -2.8326e+00 +3.0006e+00 +5.3040e-01 +6.7697e-01 +1.4508e+00 +2.9304e+00 +3.3033e+00 +1.9237e+00 +6.1912e-01 -5.5428e-01 -3.4101e+00 -3.7701e+00 -2.0405e-01 -2.9518e+00 -1.9375e+00 -3.9216e+00 -1.4580e+00 +2.9720e+00 -2.4715e+00 +1.1513e+00
20607 +6.190433316e+01 +6.190433316e+01 -4.001856668e+02 -4.001856668e+02 -2.3398e+00 +1.2783e+00 +3.0653e+00 +8.2606e-01 +1.4508e+00 +2.8676e+00 +3.7393e+00 +1.8751e+00 +1.5675e+00 -5.5428e-01 -3.2825e+00 -3.8220e+00 -2.0254e-01 -2.9518e+00 -1.8157e+00 -3.4807e+00 -3.3101e-01 +2.9360e+00 -2.4677e+00 +1.9407e+00
25481 +3.810522173e+01 +3.810522173e+01 -4.239847783e+02 -4.239847783e+02 -2.4031e+00 +2.1711e+00 +5.3118e-01 +8.0009e-01 +1.4508e+00 +2.9883e+00 +3.2449e+00 +1.8751e+00 +1.1818e+00 -5.5428e-01 -3.2825e+00 -3.7701e+00 -2.0254e-01 -3.0096e+00 -1.8157e+00 -3.4807e+00 -2.6477e-01 +2.9010e+00 -2.4715e+00 +1.7873e+00
33747 +2.148665063e+01 +2.148665063e+01 -4.406033494e+02 -4.406033494e+02 -2.2995e+00 +1.3674e+00 +2.1792e+00 +7.8389e-01 +1.4508e+00 +2.1466e+00 +2.6336e+00 +1.8771e+00 +1.1818e+00 -5.5428e-01 -3.2484e+00 -3.7660e+00 -2.0254e-01 -2.9518e+00 -1.8133e+00 -3.4807e+00 -3.3750e-01 +2.9466e+00 -2.4187e+00 +2.1568e+00
42694 +1.497244234e+01 +1.497244234e+01 -4.471175577e+02 -4.471175577e+02 -2.3627e+00 +1.3674e+00 +2.1792e+00 +7.7522e-01 +1.4508e+00 +2.1466e+00 +3.2703e+00 +1.8760e+00 +1.1818e+00 -5.5428e-01 -3.3421e+00 -3.7661e+00 -1.2783e-01 -2.9518e+00 -1.8135e+00 -3.4807e+00 -3.3750e-01 +2.9466e+00 -2.4212e+00 +2.1568e+00
59118 +9.629614670e+00 +9.629614670e+00 -4.524603853e+02 -4.524603853e+02 -2.3196e+00 +1.3509e+00 +2.1919e+00 +7.3165e-01 +2.3062e+00 +2.1581e+00 +2.5286e+00 +1.8822e+00 +1.8121e+00 -5.5428e-01 -3.2869e+00 -3.7845e+00 -1.5058e-01 -2.9486e+00 -1.7994e+00 -3.4685e+00 -3.4696e-01 +2.9463e+00 -2.4449e+00 +2.1568e+00
75837 +6.244495282e+00 +6.244495282e+00 -4.558455047e+02 -4.558455047e+02 -2.3580e+00 +2.2959e+00 +2.2004e+00 +7.4511e-01 +2.3217e+00 +2.1568e+00 +2.5357e+00 +2.5953e+00 +1.7961e+00 -5.5428e-01 -3.3376e+00 -3.7835e+00 -1.4506e-01 -2.9602e+00 -1.8007e+00 -3.4689e+00 -3.4097e-01 +2.9438e+00 -2.8194e+00 +2.1567e+00
