% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.231796996e+01 +3.231796996e+01 +1.537796996e+01 +1.537796996e+01 +3.8327e+00 +4.7020e+00 -3.7514e+00 +4.2363e+00 -2.2227e+00 -3.1790e-01 -1.5123e-01 -1.9676e+00 +2.0237e+00 -3.9996e+00 +2.7184e+00 -8.8363e-01 +1.2919e+00 -8.7485e-01 -4.3785e+00 -3.9465e+00 +1.2177e+00 +4.7360e+00 -3.5354e-01 -5.2975e-01
9 +2.207032034e+01 +2.207032034e+01 +5.130320338e+00 +5.130320338e+00 -4.2790e+00 -7.6725e-01 -3.9016e+00 +4.3319e+00 +4.3097e+00 +2.2049e+00 -2.8706e+00 -2.9767e+00 -4.4653e+00 +3.4520e+00 -1.5897e+00 +2.2008e-01 -3.4800e+00 -2.6057e+00 +2.9606e+00 +3.6189e+00 +4.3359e+00 -1.6916e+00 -1.3402e+00 +3.0020e+00
249 +1.529076704e+01 +1.529076704e+01 -1.649232956e+00 -1.649232956e+00 +1.5914e+00 +1.4461e+00 -2.1223e+00 -1.2691e+00 +4.1531e+00 +5.1534e-01 +2.1744e+00 -1.8463e+00 -1.6498e+00 -2.0046e+00 +4.0701e+00 +3.1000e+00 -6.2053e-01 +9.7517e-01 +2.1306e-01 -3.8601e+00 +4.0484e+00 -9.7610e-03 -4.5196e+00 +1.1735e+00
385 +9.901390172e+00 +9.901390172e+00 -7.038609828e+00 -7.038609828e+00 +4.6040e+00 -5.0363e-02 +4.3557e+00 -4.3424e-01 +4.4671e+00 -2.0871e+00 +2.7145e+00 +2.9052e+00 -2.7059e+00 -2.8376e+00 -3.7371e-01 +1.5282e+00 -2.6201e+00 -2.1034e+00 +2.5591e+00 +4.5755e+00 +3.8963e+00 -3.2417e+00 +1.8310e+00 -7.6427e-01
3528 +5.807874500e+00 +5.807874500e+00 -1.113212550e+01 -1.113212550e+01 +4.3291e+00 +1.0340e+00 +1.6296e-01 +9.4602e-01 +4.9887e+00 -2.4741e+00 +1.3957e+00 -3.3342e+00 +1.6756e+00 -1.8592e+00 +3.7902e+00 -2.1909e+00 -2.0919e+00 -2.3226e+00 +2.2098e+00 +2.6570e+00 +4.8641e+00 -2.9633e+00 -7.4189e-01 +1.5156e+00
5296 +3.869239784e+00 +3.869239784e+00 -1.307076022e+01 -1.307076022e+01 +2.0624e+00 +2.6738e+00 -2.2750e+00 +1.8711e-01 +1.4179e+00 -9.2080e-01 +3.3657e+00 -3.0630e+00 -5.7894e-01 -3.3796e+00 +2.9124e+00 -1.5654e-01 -4.4983e-01 -2.1025e+00 +2.2306e+00 +2.0129e+00 +4.0186e+00 -1.3334e+00 +6.0126e-01 +2.1591e+00
11123 +2.494718861e+00 +2.494718861e+00 -1.444528114e+01 -1.444528114e+01 +3.6338e+00 +3.6756e+00 -2.2750e+00 +1.8711e-01 +1.4179e+00 -2.4850e+00 +3.6165e+00 -3.0630e+00 -6.5812e-01 -2.4211e+00 +3.1797e+00 +4.1560e-01 -5.5298e-01 -2.2625e+00 +2.5765e+00 +2.8703e+00 +4.1034e+00 -1.5310e+00 -1.4499e-01 +3.1494e+00
15129 +1.407081007e+00 +1.407081007e+00 -1.553291899e+01 -1.553291899e+01 +3.6156e+00 +2.9752e+00 -1.2050e+00 +1.5138e+00 +1.4623e+00 -1.8404e+00 +3.3068e+00 -1.9490e+00 -5.2226e-01 -2.2377e+00 +3.4536e+00 +5.8720e-01 -2.2673e+00 -9.2597e-01 +2.6771e+00 +3.5930e+00 +3.7490e+00 +1.3322e-01 +1.6972e-01 +2.1605e+00
18769 +9.159236503e-01 +9.159236503e-01 -1.602407635e+01 -1.602407635e+01 +3.6156e+00 +2.8868e+00 -1.3660e+00 +1.8184e+00 +1.7454e+00 -1.6601e+00 +3.3028e+00 -1.9476e+00 -5.2226e-01 -1.5966e+00 +3.4536e+00 +2.7905e-01 -2.2673e+00 -9.2597e-01 +2.6970e+00 +3.1085e+00 +3.6441e+00 -7.3346e-01 +3.4252e-01 +2.4743e+00
26610 +5.949131115e-01 +5.949131115e-01 -1.634508689e+01 -1.634508689e+01 +3.8261e+00 +2.5898e+00 -1.3677e+00 +1.8152e+00 +1.6371e+00 -1.8877e+00 +3.2758e+00 -2.2383e+00 -4.0306e-01 -1.8144e+00 +3.5081e+00 +6.1819e-01 -2.3118e+00 -1.4114e+00 +2.5249e+00 +3.4110e+00 +3.6444e+00 -3.0991e-01 +3.3614e-01 +2.3197e+00
