% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.428987024e+07 +1.428987024e+07 +1.428966036e+07 +1.428966036e+07 +8.0392e-01 -4.2913e+00 +4.3982e+00 +4.3135e+00 +1.4615e+00 -1.5614e+00 +3.6880e+00 -2.2709e+00 +1.4285e+00 +4.3390e+00 -7.2947e-01 -3.3587e+00 -4.1343e+00 -3.1948e+00 -2.4277e-01 -1.9141e+00 -1.8192e+00 -3.7043e+00 +4.0289e-01 +2.1343e+00
7 +8.286139365e+06 +8.286139365e+06 +8.285929485e+06 +8.285929485e+06 +3.5907e-01 +1.9031e+00 +7.5955e-01 -3.6275e+00 -4.6952e+00 -1.6412e+00 +1.6809e+00 -2.4525e+00 +4.7895e+00 +3.3554e+00 -2.9350e+00 +4.1311e-01 -3.0906e+00 -9.9916e-01 -4.4510e+00 +1.6068e+00 -1.1216e+00 -1.9768e+00 -1.9010e+00 +2.0944e+00
13 +3.728536684e+06 +3.728536684e+06 +3.728326804e+06 +3.728326804e+06 -2.1588e+00 +3.0208e+00 +2.7848e+00 -1.8931e+00 -4.3134e+00 -1.8566e+00 -2.0821e+00 +5.1514e-01 +2.2235e+00 +3.0578e+00 -2.6641e+00 +5.1866e-02 +1.6697e+00 +3.7519e+00 +3.8499e+00 -1.4661e+00 -1.1875e+00 +3.7197e+00 -2.7818e+00 +3.1059e+00
21 +1.092135268e+06 +1.092135268e+06 +1.091925388e+06 +1.091925388e+06 +1.7177e+00 +2.4071e+00 +2.5480e+00 +7.1691e-01 +5.6985e-01 -3.2134e+00 -3.8088e+00 -2.6061e+00 +4.6448e+00 +4.1556e+00 -6.9943e-01 +6.1994e-01 -2.4023e+00 -3.4409e+00 +2.0660e+00 -2.6241e+00 -2.6238e+00 +3.0278e+00 -3.1826e+00 +2.2143e+00
1864 +7.123536104e+05 +7.123536104e+05 +7.121437304e+05 +7.121437304e+05 -4.2806e+00 +2.6207e+00 -1.9874e+00 +3.7616e-01 +6.9638e-01 +4.7373e+00 -3.6582e+00 -5.0902e-01 +1.6523e+00 +4.7922e-01 +8.6767e-01 +7.6463e-01 -1.4261e+00 +1.4802e-02 -3.6175e+00 -3.3220e+00 -4.0602e+00 +3.8462e+00 -2.9244e+00 +1.7961e+00
2460 +5.632360569e+05 +5.632360569e+05 +5.630261769e+05 +5.630261769e+05 -1.3586e+00 +2.1281e+00 -2.5044e+00 +4.4039e+00 +2.8931e-01 -3.9292e+00 +4.8463e+00 -4.8191e+00 +4.3947e+00 +4.0058e+00 +1.7178e+00 -2.0736e+00 +3.9180e+00 +1.1551e+00 -4.6476e+00 -3.2398e+00 -2.2921e+00 +2.9038e+00 -2.2666e+00 +2.1971e+00
3790 +3.572104413e+05 +3.572104413e+05 +3.570005613e+05 +3.570005613e+05 -3.6378e+00 +3.5539e+00 +1.2779e+00 +3.8719e+00 -2.7186e+00 -3.2000e+00 -2.2665e+00 +1.9105e+00 -4.9589e+00 +9.8752e-01 +7.4868e-01 +3.3420e+00 +2.2524e+00 -4.2621e+00 -1.6236e+00 -4.3010e+00 -3.4295e+00 +3.3600e+00 -2.9954e+00 +1.8213e+00
4535 +2.266443670e+05 +2.266443670e+05 +2.264344870e+05 +2.264344870e+05 +4.0321e+00 +3.2481e+00 +1.9720e+00 -1.9786e+00 +2.5309e+00 -7.7096e-01 +2.2497e+00 -1.8753e+00 +3.3198e+00 -3.9777e-02 +1.4854e+00 -3.2613e-01 +1.6462e+00 -3.0312e+00 -1.7274e+00 -2.3394e+00 -3.2699e+00 +3.1519e+00 -2.3688e+00 +1.8038e+00
5221 +1.388452220e+05 +1.388452220e+05 +1.386353420e+05 +1.386353420e+05 -3.8811e+00 +2.9589e+00 +1.3685e+00 +3.6270e+00 -5.1911e-02 +9.3133e-01 +3.0891e+00 +4.7118e+00 +4.9104e+00 +5.3342e-01 -1.4254e+00 +1.8588e+00 +4.8518e+00 -1.2689e+00 -1.6400e+00 -3.3655e+00 -3.9796e+00 +3.1525e+00 -2.2684e+00 +1.9644e+00
6719 +7.687061831e+04 +7.687061831e+04 +7.666073831e+04 +7.666073831e+04 -3.8811e+00 +2.9589e+00 +2.1844e+00 +4.4847e+00 -5.1911e-02 +8.5906e-01 +3.0891e+00 +4.7118e+00 +1.7160e+00 +5.3342e-01 -1.4254e+00 +1.9252e+00 +4.8518e+00 -1.3539e+00 -1.6400e+00 -3.3978e+00 -3.4423e+00 +3.3396e+00 -2.2684e+00 +1.9985e+00
